Date,IBM,BRK-B,KO,AXP,JPM,WFC,STT,BK,CI,WMT,COST,TRV,PNC,GS,MCO,DE,ECL,MSFT,DD,PG,BLK,HD,BA,VRTX,A,DIS,INTC,JNJ,FDX,TGT
2/8/2000,5464300,1035000,8261200,5268500,6318600,8445000,1227000,1309200,3466800,8576100,2440700,1073900,786200,1024800,1197000,10296000,695400,56229000,1770700,6787800,45300,4501700,5102700,594200,1169700,5780200,38026000,6125400,1054400,3512200
2/9/2000,5374700,1760000,7948600,7182100,9818500,9003600,644400,1789700,5363100,8216600,1466800,1127900,682700,397100,1901400,4098600,611800,55090000,2501300,6255800,9100,5289700,5525000,286000,1182800,6158300,38615200,12422600,1242900,2085400
2/10/2000,4446600,2220000,8031000,5986200,6880500,14250800,744600,1325100,3891000,4591600,2761800,3271100,733400,503200,1941800,2402000,441000,54527800,2352900,5267800,9700,3644900,4060600,560800,1066800,5675900,43539200,11344800,1463200,1900000
2/11/2000,5749400,2525000,7688600,6520900,7052500,11174800,593600,1373400,3099600,4816700,2071000,680900,554600,856900,4416200,3009000,366600,115559000,2152400,5335000,24700,4647100,3132800,634800,751700,7247000,37756000,10233200,1496000,2102400
2/14/2000,4544000,2715000,7134000,5418300,5904700,8303800,921600,1413400,1349700,5803600,1856300,436300,464800,627800,2297400,3117800,302000,81028600,3123300,5252200,7100,3173900,2606300,264400,837600,5201600,34374200,7373000,1834400,1876800
2/15/2000,5177500,2290000,7850800,4668100,8965500,7574600,966200,1176700,3453000,9712100,2675400,689700,570800,542400,2778000,2621600,683400,71027600,3978400,6864000,4900,3531100,3961300,434600,2017500,7082700,62771400,9863400,2040700,2811400
2/16/2000,3966900,2215000,6869200,7616700,4829700,7861000,573400,2636700,3711900,13585800,4231600,1297000,559400,720300,2960800,2736800,408000,65202600,1846800,5314600,69000,6829800,3423000,441600,1801700,4475200,46050000,9247200,1787800,3917000
2/17/2000,5237500,975000,11661000,14201000,5716200,9629000,646600,2817300,2412300,24766700,6955400,562200,635000,895500,4666200,2028000,393000,80343400,1702200,4682400,28100,10785700,3400500,1690600,944900,4756300,48669600,5774400,1452200,5698600
2/18/2000,7673400,1010000,11443400,15618600,8121300,20619200,1400600,2749500,2943600,19394400,6004200,529900,1069600,925500,2250000,1174200,849000,79063000,2098000,4651600,5000,10402700,5559500,1381800,4060000,6493800,50370000,8246200,1602000,5321600
2/22/2000,7654800,825000,10543000,13781500,7068600,10546000,1375800,1811700,2627400,12342600,3769600,966400,854600,720100,1162000,1886400,626000,66296200,2638100,5226800,10700,8019200,4771400,980200,2227900,12744100,45793600,7307400,1669000,5649200
2/23/2000,7435300,610000,11021600,10902200,4452900,8786200,1006800,1523700,3460800,12874400,4267300,1101500,671000,702900,5380600,1308400,501000,75847200,2194000,5357000,5700,6533700,3880800,852000,1690000,8371700,40842000,8293200,945600,3702200
2/24/2000,9112000,745000,15451600,19860700,5199900,9797200,1386400,2473900,2919300,19431900,3990500,803000,755000,1199800,1238200,1469200,1124400,69733200,1744600,7223200,61800,7763600,4210800,1287800,2956300,8338600,85347800,18512800,1451700,4127400
2/25/2000,10312200,1770000,10905200,16576200,4644300,8026800,1625800,2459500,2472600,16908500,7698400,545200,847900,1333000,1841200,2246400,557800,65301400,1538600,7177200,41400,6155600,3170600,1485400,2048200,8440600,46299000,13221400,1386500,4806600
2/28/2000,8479900,2225000,10790800,16359600,6051000,8663600,1349400,2587100,3040800,17836100,6621300,971800,922400,518000,1085600,1822600,720600,76131800,2441800,7081600,35700,8120100,3573300,793800,1675300,7943600,47422200,13537800,1390700,3935000
2/29/2000,10484900,1900000,10346200,8560900,6166900,11133400,969000,2443900,2886000,17197200,3681800,1211500,955200,1381200,2504000,4101400,651800,58437400,1957700,6661800,79900,7119900,3513100,1450200,958000,5506400,44414200,10183200,2101100,3704400
3/1/2000,10807800,1105000,15612200,7788700,4866300,11305800,839800,3564700,6094200,10165800,4624400,1397000,755900,1488900,1148000,3712600,710400,106889800,2018000,4153600,140600,6504000,2838000,1777200,1037800,7250300,40813000,9397200,1121500,4027400
3/2/2000,11192900,715000,11358600,8707600,3583800,10556200,417800,2243200,2789100,15542700,7841800,1166300,703100,1819200,1337200,3581200,718800,106932600,2689500,3565800,26600,5352000,4058200,1120800,1188300,6588200,36469800,6793000,1307900,4042600
3/3/2000,10162800,725000,9010600,8775100,5981400,8831400,1005200,1835700,2567100,10790800,2430500,668600,565800,2295900,996200,4530800,1126800,101435200,4051400,4902200,17300,5832800,3884100,1546200,1215800,14559700,34285000,5794600,1691000,2528000
3/6/2000,10747400,885000,7866000,7299600,5691400,7545400,807200,1927600,1968600,10493600,3419200,793900,442600,1421000,728000,2483400,570200,93609400,2974100,3668600,9900,4821800,2882000,2242000,5693400,7341000,28032000,7631400,1336900,2646000
3/7/2000,10035100,950000,23440200,11151000,4566900,8782600,1607000,1819100,3059100,9724700,7506100,885100,698800,1041300,841600,6393000,778000,135061000,4333000,137287200,26200,8491900,3565000,2466600,7710800,7588100,39924200,16526400,2191400,3787200
3/8/2000,8376400,1010000,14441600,11361100,5247700,9310400,2721000,2789900,2284500,10018700,6526600,661200,862400,1041100,1077000,5782200,667600,94290000,4716600,74584200,31700,6631400,4134600,2803600,3953900,6294500,46391200,12836800,1946000,5544800
3/9/2000,6334100,1805000,12389400,12839000,3979500,9146600,1055800,2136000,2696400,7944900,4937300,1607800,1005300,535500,1225400,3835400,873200,88198800,2718400,34217200,7800,5736400,3236800,1517600,2514500,5623000,38375800,9665400,1306300,2846400
3/10/2000,7093200,2135000,14059200,12432800,5311300,8554000,1189400,1886600,2055600,7005500,4934000,634300,1005700,2034400,802600,1321000,709600,85589000,2065600,48561600,5200,4456000,5114300,1448200,2479300,7061900,43497600,8722200,1155700,2626600
3/13/2000,7871000,1720000,15646400,10198200,4723300,8542400,1246000,2109800,2540400,7727900,3747300,1183300,618400,1454200,1546200,1525800,614200,61831800,2117200,35996800,27900,4412500,3422700,774800,2626700,5247400,67439200,5762600,1148000,3464400
3/14/2000,7973700,1010000,11162000,9381800,4129600,7903800,600800,1132800,2429700,9985000,2097100,1030100,667400,653100,1142200,2147400,907800,73489200,1959100,20742000,1300,5094600,3727900,3482000,3522900,5589500,56785000,10342200,767900,2396800
3/15/2000,5665900,1630000,22138200,11197300,8861700,15288600,2607200,3960000,3482100,14670000,5515300,853100,1550200,700300,1365000,4763400,1011600,53208000,3358500,24737400,29000,8097100,4859300,2111000,3046200,6642900,48895600,12020200,1697700,3036200
3/16/2000,6622500,2375000,17610200,17287100,15634900,19621600,4875400,5542000,5715600,19716000,12820600,1798200,1954500,2024800,2816600,3794800,877400,77300800,4397300,27405200,19500,12165000,4725200,1465400,2769500,8335100,54972800,15359000,2261200,5595000
3/17/2000,8857300,2115000,14530800,11811100,11889100,14195400,3376400,2862400,7118400,12637300,7765900,1410200,1209600,2099400,1599400,2753600,1137400,81161600,2913300,22202400,73300,13587500,15304900,910400,1563800,8753600,60851000,11004200,2056400,6235200
3/20/2000,6563500,935000,6755200,8829600,8076100,10822200,2233800,1966700,3829500,6769100,3873800,720700,596000,2254000,1223000,1378800,896600,47773000,1840100,11856000,134700,5350300,5786400,1389800,1420600,16985600,65163600,6755200,1455600,5328200
3/21/2000,6771600,1275000,8575800,11703500,8345500,12409200,2135600,2592700,4385100,7854600,4335200,934700,1484300,2692800,1369600,1823200,430200,81648800,1826200,14933000,172200,5552300,4165400,764400,2528200,13362000,51231000,8027600,2092000,4826400
3/22/2000,6137800,845000,11884200,6373900,8604100,10333800,1571000,1634700,3951900,9963500,5072800,794500,587600,1258900,2129400,1387400,450000,93975800,1880100,15490200,35900,4746500,3359600,1089200,1967900,13725800,53693200,9983000,2207400,3030600
3/23/2000,6492400,650000,10333800,11305200,10431400,12593200,2686000,2518900,2940300,7025500,2929400,1290000,710000,1656900,1188200,1578800,1142000,148224000,2202200,13621800,1300,5540300,4080400,774000,1951800,8163800,45593800,10390000,4524200,2861400
3/24/2000,12125600,550000,8769200,9741000,9489000,12729000,3182800,2510400,2950500,7952900,5254700,754100,821300,1934400,2409600,1828200,669200,112196800,2016100,14311600,5600,5903600,5797500,861600,1230500,6630400,46898000,38763600,1836100,2496200
3/27/2000,11862900,535000,10535400,7037800,4828900,14213400,1371800,1140000,2939100,5774900,2459100,1205100,755100,1315000,783200,1169400,460000,111434000,2250900,11909400,19600,3828000,2534000,635200,846700,5797600,35766200,22607600,991100,2219200
3/28/2000,8149600,665000,13673000,8031400,7325700,11255800,1717200,1634400,3882000,5797600,6036600,1754800,802600,1649400,765600,1722400,505400,81114400,2422900,12057600,42600,4848400,5056400,780600,1392500,7592600,44857800,18375600,1256600,5298000
3/29/2000,7312300,490000,16292600,6100000,9088300,10821000,1372000,975300,2711700,13596700,5350400,775000,739300,754300,1100000,1565600,221800,64363800,2024000,15731600,77000,6944300,2731000,1133200,1250300,5162400,61325400,14696000,1411800,4486200
